tweetid,userid,user_display_name,user_screen_name,follower_count,following_count,tweet_language,tweet_text,tweet_time,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
892829866395148292,4301962823,Black News,BlackNewsOutlet,40458,29659,en,Popular T.V host and mogul Oprah Winfrey has been unseated by oil baroness Folorunsho Alakija as the richest Black woman in the world. hssqs://t.co/ZcR0kFFZBh,2017-08-02 19:30,-123,,,False,,-123,267.0,37.0,3078.0,3024.0,[],[],,
843653826133422080,4224729994,Tennessee,TEN_GOP,147767,74664,en,"Iranian immigrant warns the West. Islamofascism ""always starts with the unity of Leftists and Islamists."" hssqs://t.co/pNshIo9rAn",2017-03-20 02:42,-123,,,False,,-123,231.0,139.0,2466.0,3021.0,[],[],,
788499659501150208,4437233895,Crystal Johnson,Crystal1Johnson,56581,31117,en,"This cop illegally seized a protester's camera, but accidently left it rolling. Here's what it captured: hssqs://t.co/ztdyt7Cqwb",2016-10-18 21:59,-123,,,False,,-123,167.0,56.0,2758.0,3016.0,[],[],,
773708223207632896,4224729994,Tennessee,TEN_GOP,147767,74664,en,"""With respect to Libya we did not lose a single American in that action""   I can't believe my ears!!  #NBCNewsForum hssqs://t.co/xigcGWG7vl",2016-09-08 02:23,-123,,,False,,-123,727.0,548.0,2384.0,3013.0,[NBCNewsForum],[],,
745611160561549316,4859142199,Traynesha Cole 🌐,TrayneshaCole,25373,12977,en,Another black girl is being asked to straighten her hair or face disciplinary action by a school by way of expulsion hssqs://t.co/Y1myflrHZ5,2016-06-22 13:35,-123,,,False,,-123,603.0,51.0,2067.0,3011.0,[],[],,
853376478003826688,4224729994,Tennessee,TEN_GOP,147767,74664,en,"Berkeley, the cradle of free speech, now looks like the Middle East.  #Berkeley #TaxMarch hssqs://t.co/NJEFRzhDGd",2017-04-15 22:36,-123,,,False,,-123,364.0,457.0,3237.0,3008.0,"[Berkeley, TaxMarch]",[],,
788079137680334848,4224729994,Tennessee,TEN_GOP,147767,74664,en,BREAKING🚨  @wikileaks emails reveal that anti-Trump Chicago riots were a DNC operation!!  #birddogging hssqs://t.co/8X9PyjK4Ky,2016-10-17 18:08,-123,,,False,,-123,258.0,112.0,1920.0,3007.0,[birddogging],[],[16589206],
846477444005711872,4224729994,Tennessee,TEN_GOP,147767,74664,en,"BREAKING: Massive violence breaks out it Paris, several cars on fire, multiple injuries.WHERE IS THE MEDIA COVERAGE? hssqs://t.co/HTBXSlOWHS",2017-03-27 21:42,-123,,,False,,-123,252.0,266.0,2048.0,3002.0,[],[],,
809127827534704640,4224729994,Tennessee,TEN_GOP,147767,74664,en,"RT if you also think @TuckerCarlson is doing a great job on his show ""Tucker Carlson Tonight."" hssqs://t.co/UKZq5xd2wf",2016-12-14 20:08,-123,,,False,,-123,183.0,189.0,3061.0,3000.0,[],[],[22703645],
819292225771372544,4224729994,Tennessee,TEN_GOP,147767,74664,en,RT if you think CNN gets what they deserve. The moment we have been waiting for 8 years! #TrumpPressConference hssqs://t.co/zNEkO2qnBT,2017-01-11 21:17,-123,,,False,,-123,144.0,171.0,3145.0,2995.0,[TrumpPressConference],[],,
834417963872690180,4224729994,Tennessee,TEN_GOP,147767,74664,en,James O’Keefe to release ‘hundreds of hours’ of leaked newsroom footage from CNN. Tomorrow can't come soon enough.This will be fun to watch! hssqs://t.co/c5jWVvm3Tm,2017-02-22 15:01,-123,,,False,,-123,192.0,261.0,4337.0,2990.0,[],[],,
855874426004529153,4224729994,Tennessee,TEN_GOP,147767,74664,en,"When they say: ""We're a nation of immigrants,"" please remind them that those immigrants waited days at Ellis Island to come LEGALLY. hssqs://t.co/fiBF85rocE",2017-04-22 20:02,-123,,,False,,-123,235.0,331.0,3812.0,2985.0,[],[],,
811661555347718144,4224729994,Tennessee,TEN_GOP,147767,74664,en,Muslim woman at Los Angeles airport: “I will make sure we bomb America”. Sounds like a reason to 'feel uncomfortable'. #BoycottDelta hssqs://t.co/79iWiYpdmd,2016-12-21 19:56,-123,,,False,,-123,933.0,709.0,1952.0,2983.0,[BoycottDelta],[],,
831226286345428993,4224729994,Tennessee,TEN_GOP,147767,74664,en,"This woman came here legally and she supports Trump on immigration. Please, spread her word.  #DayWithoutLatinos hssqs://t.co/zjDndIKnAI",2017-02-13 19:39,-123,,,False,,-123,134.0,157.0,4371.0,2979.0,[DayWithoutLatinos],[],,
845008052218724353,4272870988,Pamela Moore,Pamela_Moore13,72121,42080,en,"RETWEET if you agree with Newt!  ""It is unimaginable how much damage Obama did to the country in just eight years."" hssqs://t.co/VzxLHxUzmW",2017-03-23 20:23,-123,,,False,,-123,168.0,191.0,2621.0,2975.0,[],[],,
864947520048422913,4224729994,Tennessee,TEN_GOP,147767,74664,en,Was Comey lying under oath when he said no one asked him to impede investigation or is memo a lie? Media will never report on this.. Spread! hssqs://t.co/UHu6v5WFSV,2017-05-17 20:55,-123,,,False,,-123,265.0,168.0,2471.0,2973.0,[],[],,
